"date","revision","parrot revision","files","test","pass","fail","skip","time in seconds","NOTES"
# target tcl 8.5.4
"2008-09-25 00:00",,"r31396",38,1481,743,290,448,
"2008-09-26 04:51",,"r31427",56,3659,2463,812,384,
"2008-10-08 07:50",37,"r31779",43,2348,1579,533,236,
"2008-10-10 20:43",79,"r31835",53,3032,2070,713,249,
"2008-10-13 23:45",99,"r31835",54,3158,2115,794,249,
"2008-10-29 08:42",128,"r32229",55,3421,2120,856,445,
"2008-10-29 22:48",146,"r32229",56,3672,2182,889,601,10568
# target tcl 8.5.5
"2008-11-17 13:57",159,"r32684",57,4001,2280,1120,601,12349
"2008-11-19 12:51",159,"v0.8.1",57,4001,2341,1059,601,12550
"2008-12-18 12:15",195,"r34059",57,4001,2341,1059,601,9232
"2008-12-21 21:02",215,"r34211",61,4562,2661,1239,662,9973
# target tcl 8.5.6
"2009-01-23 10:00",275,"r35901",59,4503,2693,1170,640,8273
"2009-01-25 21:53",309,"r35979",62,4882,2879,1235,768,8749
# work against an installed parrot; run on feather.perl6.nl
"2009-06-08 21:36",440,"r39452",57,3275,1791,866,618,4045
"2009-06-09 07:22",440,"r39460",59,3403,1909,883,611,4187
"2009-06-10 06:24",471,"r39485",62,3653,2091,925,637,4650
"2009-06-11 07:39",476,"r39492",64,3856,2162,1031,663,4532
"2009-06-13 06:08",483,"r39529",67,5145,2972,1352,821,4374
"2009-07-13 02:57",526,"r40039",62,4463,2718,1159,586,5603
# use an optimized parrot, post-1.4.0
"2009-07-26 00:48",547,"r40228",52,3146,1957,794,395,3824,"--optimize"
"2009-08-17 20:01",590,"r40606",54,3266,1955,871,440,3347,"--optimize"
"2009-08-18 02:54",597,"r40606",57,3747,2263,1063,421,5823,""
"2009-08-18 17:06",601,"r40633",56,2934,1855,799,280,3560,"--optimize"
"2009-08-24 12:46",621,"r40744",47,1586,1040,397,149,1592,"--optimize"
"2009-08-24 21:57",630,"r40744",46,1551,1039,363,149,1583,"--optimize"
"2009-08-25 13:47",635,"r40625",50,2823,1535,744,544,2951,"--optimize"
"2009-08-26 01:54",638,"r40625",49,2855,1869,486,500,2753,"--optimize"
# run everything that completes, passing or not.
"2009-08-28 00:59",642,"r40826",61,3395,1942,698,755,4188,"--optimize"
"2009-09-01 11:21",658,"r40897",93,7397,3363,1989,2045,6651,"--optimize"
"2009-09-02 17:23",670,"r40897",94,7416,3396,1975,2045,6381,"--optimize"
"2009-09-03 10:58",680,"r40959",96,7745,3433,2161,2151,8340,"--optimize"
"2009-09-03 22:20",688,"r40959",97,7752,3570,2131,2051,8811,"--optimize"
"2009-09-04 09:05",690,"r40969",97,7752,3569,2132,2051,8287,"--optimize"
"2009-09-04 21:30",696,"r40982",100,8390,3865,2278,2247,8756,"--optimize"
"2009-09-06 18:18",697,"r41083",100,8390,3864,2279,2247,8965,"--optimize"
"2009-09-08 08:58",698,"r41154",100,8390,3864,2279,2247,13443,"--optimize"
"2009-09-08 16:53",700,"r41161",100,8390,3865,2278,2247,9855,"--optimize"
"2009-09-10 13:18",710,"r41180",100,8390,3865,2278,2247,7720,"--optimize"
"2009-09-11 21:39",729,"r41222",102,8436,3861,2268,2307,7390,"--optimize"
"2009-09-16 23:09",740,"r41280",102,8436,3879,2250,2307,7693,"--optimize"
"2009-09-29 20:07",745,"r41563",100,8061,3586,2168,2307,7276,"--optimize"
"2009-09-30 10:24",748,"r41575",101,7661,3876,1936,1849,6765,"--optimize"
"2009-10-01 00:05",748,"r41575",102,8436,3879,2250,2307,7396,"--optimize"
"2009-10-13 12:03","d034e8684080752bc58f5c403d1d86b9d5c5a820","r41804",101,8382,3188,2755,2439,7133,"--optimize"
"2009-10-13 19:15","b455eb2039facb7d65723ee07414329e09ea2ecd","r41833",102,8436,3880,2249,2307,7185,"--optimize"
